"code","timestamp","trade_timestamp","trade_price","trade_volume","ask_bid","prev_closing_price","change","change_price","sequential_id"
"KRW-BTC",1575565417080,1575565416000,8582000.0,0.00012,"ASK",8515000.0,"RISE",67000.0,1575565416000007
"KRW-BTC",1575565417093,1575565416000,8581000.0,0.00012,"ASK",8515000.0,"RISE",66000.0,1575565416000008
"KRW-BTC",1575565417105,1575565416000,8580000.0,0.00258938,"ASK",8515000.0,"RISE",65000.0,1575565416000009
"KRW-BTC",1575565417115,1575565416000,8580000.0,0.02331002,"ASK",8515000.0,"RISE",65000.0,1575565416000010
"KRW-BTC",1575565417128,1575565416000,8580000.0,1.46470136,"ASK",8515000.0,"RISE",65000.0,1575565416000011
"KRW-BTC",1575565417218,1575565417000,8580000.0,0.5,"ASK",8515000.0,"RISE",65000.0,1575565417000000
"KRW-XRP",1575565417644,1575565417000,255.0,214.67015799,"ASK",253.0,"RISE",2.0,1575565417000000
"KRW-ETH",1575565417876,1575565417000,172200.0,0.25928775,"ASK",171650.0,"RISE",550.0,1575565417000000
"KRW-BTC",1575565418046,1575565417000,8583000.0,0.00116509,"ASK",8515000.0,"RISE",68000.0,1575565417000001
"KRW-BTC",1575565418057,1575565417000,8583000.0,0.00636801,"ASK",8515000.0,"RISE",68000.0,1575565417000002
"KRW-BTC",1575565418068,1575565417000,8580000.0,0.15571962,"ASK",8515000.0,"RISE",65000.0,1575565417000003
"KRW-XRP",1575565418154,1575565418000,255.0,594.3513419,"ASK",253.0,"RISE",2.0,1575565418000000
"KRW-BTC",1575565418271,1575565418000,8583000.0,0.00519586,"ASK",8515000.0,"RISE",68000.0,1575565418000000
"KRW-BTC",1575565418301,1575565418000,8583000.0,0.00636801,"ASK",8515000.0,"RISE",68000.0,1575565418000001
"KRW-BTC",1575565418313,1575565418000,8580000.0,0.12617055,"ASK",8515000.0,"RISE",65000.0,1575565418000002
"KRW-BCH",1575565418626,1575565418000,245300.0,4.8564,"ASK",244300.0,"RISE",1000.0,1575565418000000
"KRW-XRP",1575565418743,1575565418000,255.0,397.54495845,"ASK",253.0,"RISE",2.0,1575565418000001
"KRW-BTC",1575565418805,1575565418000,8580000.0,0.01179459,"BID",8515000.0,"RISE",65000.0,1575565418000003
"KRW-BCH",1575565418839,1575565418000,245300.0,0.4119382,"ASK",244300.0,"RISE",1000.0,1575565418000001
